epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3039.41,0.66661,0.58296,1.17217,0.99284,0.96648,0.98282,0.92573,0.33724,0.22344,0.85528,0.000536644,0.000536644,0.000536644
43,3109.38,0.64659,0.57369,1.15628,0.97806,0.95684,0.98107,0.92407,0.33817,0.23961,0.85785,0.00051488,0.00051488,0.00051488
44,3179.5,0.67186,0.59479,1.17679,0.99264,0.96788,0.98392,0.92984,0.33192,0.20963,0.85133,0.000493115,0.000493115,0.000493115
45,3249.72,0.6529,0.56848,1.1633,0.99172,0.95971,0.98343,0.92604,0.33135,0.25352,0.85216,0.00047135,0.00047135,0.00047135
46,3319.95,0.65705,0.57696,1.16541,0.9926,0.95914,0.98491,0.92848,0.33444,0.22151,0.85268,0.000449585,0.000449585,0.000449585
47,3390.07,0.63918,0.57143,1.1511,0.99377,0.96849,0.98303,0.93183,0.32249,0.20675,0.84279,0.000427821,0.000427821,0.000427821
48,3459.94,0.62944,0.55503,1.14395,0.99135,0.96965,0.98475,0.931,0.32301,0.2068,0.84192,0.000406056,0.000406056,0.000406056
49,3530.11,0.63871,0.57161,1.1527,0.98904,0.95659,0.98396,0.93086,0.32149,0.21674,0.83602,0.000384291,0.000384291,0.000384291
50,3603.92,0.63125,0.54487,1.14965,0.99379,0.96731,0.98396,0.92997,0.33181,0.21113,0.84667,0.000362526,0.000362526,0.000362526
51,3673.99,0.63727,0.55742,1.14931,0.99494,0.97005,0.98524,0.93008,0.32567,0.20572,0.83723,0.000340762,0.000340762,0.000340762
52,3744.77,0.62509,0.54957,1.14383,0.99653,0.96903,0.98407,0.93423,0.325,0.20125,0.83994,0.000318997,0.000318997,0.000318997
53,3816.2,0.61904,0.54294,1.13969,0.99354,0.96668,0.98378,0.93062,0.31997,0.20422,0.83681,0.000297232,0.000297232,0.000297232
54,3886.15,0.62435,0.53353,1.14701,0.9955,0.96684,0.9838,0.93172,0.32129,0.19902,0.83564,0.000275467,0.000275467,0.000275467
55,3956.21,0.61943,0.54786,1.14083,0.99039,0.96648,0.98368,0.93117,0.31377,0.20771,0.83483,0.000253702,0.000253702,0.000253702
